Unnamed: 0,Tweet,Date,Username,Hashtags,Category
195,#Countdowntoinkwash19 #inkwash19 #Startupideas #asci #asciindia #sanitation #innovation Gramalaya : Smart Toilets @malinireddy @Chary_VSC @UrbanMgtASCI @ASCIMEDIA @RICH_Hyd,2020-01-22 11:36:13+00:00,InkWash19,#Countdowntoinkwash19 #inkwash19 #Startupideas #asci #asciindia #sanitation #innovation,Sanitation
196,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:49:02+00:00,EastKhasi,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
197,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:47:12+00:00,bareillysbm,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
198,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:40:12+00:00,SBMBarabanki,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
199,"We offer portable toilets for a small home project or a large commercial construction site. At Portable Toilet Hire London, we have your sanitation requirements covered, call one of the team today to discuss your needs on 020 8594 3673.",2020-01-22 10:35:06+00:00,ToiletHireLDN,,Sanitation
200,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:28:08+00:00,SBMPratapgarhUP,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
201,"RT swachhbharat The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. #SwachhBharat #ZSBP",2020-01-22 10:13:03+00:00,SwachhJalna,#SwachhSundarSamudayikShauchalaya #toilets #sanitation #SwachhBharat #ZSBP,Sanitation
202,Let's take a quick poll: Which of these do you use to wipe your anus after using the toilet. #SDG6 #CleanNigeria25 #WASH #SDG #Nigeria #WednesdayThoughts #endopendefecation #hygiene #sanitation,2020-01-22 10:06:39+00:00,gr8Olisaemeka,#SDG6 #CleanNigeria25 #WASH #SDG #Nigeria #WednesdayThoughts #endopendefecation #hygiene #sanitation,Sanitation
203,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Sanitation
204,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:06:08+00:00,SPalamu,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
205,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 10:03:19+00:00,SwachhBMEtah,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
206,"swachhbharat: The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 09:57:14+00:00,Kaushambi_SBM,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
207,"The #SwachhSundarSamudayikShauchalaya initiative has received an overwhelming response. With the construction of around 25,000 community #toilets, communities across the nation are sustaining safe #sanitation practices. ",2020-01-22 09:54:55+00:00,swachhbharat,#SwachhSundarSamudayikShauchalaya #toilets #sanitation,Sanitation
208,"Tai / Madam...this is the solution we are looking for...""FBTec"" installed at a public toilet..at Sangamner.......saving water and improving sanitation...https://youtu.be/VgYbaKmsQ60 Please have a look at it. Thanks",2020-01-22 06:48:48+00:00,LalitBajare,,Sanitation
209,"#IndianArmy org awareness lecture on Hygiene &amp; Sanitation at #YouthCentre, Palma, #RajouriDistt. Emphasis was laid on clean surroundings, use of toilets, proper garbage disposal &amp; waste management. #ArmyForSwachhBharat @adgpi",2020-01-22 05:48:27+00:00,Whiteknight_IA,#IndianArmy #YouthCentre #RajouriDistt #ArmyForSwachhBharat,Sanitation
210,"Water & Sanitation Fact of the Day: Roughly 6 billion people on Earth own a phone, but only 4.5 billion have access to a working toilet.",2020-01-22 00:20:54+00:00,AndrewGSayegh,,Sanitation
211,SANITATION MINISTRY ENGAGES WORLD BANK ON $160 MILLION TO SUPPORT HOUSEHOLD TOILETS https://africanewsnetwork.net/sanitation-ministry-engages-world-bank-on-160-million-to-support-household-toilets/,2020-01-21 20:36:07+00:00,annetworkpage,,Sanitation
212,"There's more to toilet brushes than we realized after talking to experts who specialize in sanitation. Most of us are probably using them incorrectly, leaving our brush holders festering with hidden germs and keeping our brushes around for far too long. https://wrctr.co/38qMn4p",2020-01-21 18:30:23+00:00,wirecutter,,Sanitation
213,"If there is no sewerage treatment option available why use flushing toilets, even if they are low flush? Waterfriendly (aka dry) sanitation is the much preferred option in such conditions! https://www.omuramba-impact.com/water-friendly-sanitation.html",2020-01-21 18:26:59+00:00,ElineNamibia,,Sanitation
214,"Pune Duo Convert Old Buses Into Ladies’ Toilets That Have Been Used Over 1 Lakh Times. “Every person, regardless of their income level, should be able to access sanitation. Our dream is to launch 1,000 buses in the future,” says co-founder Ulka. ",2020-01-21 17:39:48+00:00,rspchary,,Sanitation
215,my mom has been trying for a few years to incorporate water friendly sanitation for those who have no access to toilets but they have been blocking her progress.. this Namibia i- ,2020-01-21 16:33:54+00:00,bebynenes,,Sanitation
216,Hi Lona. DA run Western Cape has highest rate of sanitation provision in the country. Please let me know which pocket of Khayelitsha youre referring to &amp; we'll investigate immediately. Only land I can think where there wouldn't be toilets would be illegally invaded private land.,2020-01-21 16:27:46+00:00,powellemmaloui1,,Sanitation
217,"These fancy e-toilets' doors at Thiruvanmiyur Bus Terminal are permanently jammed. Instead of inside, men can be found ""relieving"" themselves behind the toilets. #Thiruvanmaiyur #ChennaiCorporation #sanitation #publichealth",2020-01-21 16:27:07+00:00,sashwatasahagt1,#Thiruvanmaiyur #ChennaiCorporation #sanitation #publichealth,Sanitation
218,"Where ever Food is sold, Toilets should be around. Interesting read. #sanitation #Toilet #toilets https://m.facebook.com/story.php?story_fbid=2737343372955656&amp;id=1083280435028633",2020-01-21 16:05:09+00:00,HipcityHub,#sanitation #Toilet #toilets,Sanitation
219,"There's much evidence in science that proves ID declined w/o antibiotics or vaccines, specifically from 1900-1950s. It was a confluence of many living standards changing: improved hygiene, sanitation (plumbing/toilets), better nutrition &amp; spatial distribution are but a few. ",2020-01-21 14:48:39+00:00,KalebsUniverse,,Sanitation
220,"While ODF is appreciatd,where does sewage frm these toilets go? In a rush to meet deadlines,it goes to stormwater drains or septic tanks hence furthr polluting the ground water Good for SS ranking,still doesnt solve Noidas sanitation/bad drainage woes #transformNoida on grnd",2020-01-21 14:04:13+00:00,AvSaaph,#transformNoida,Sanitation
221,"In a refugee camp of 800,000 people, sanitation is a serious business. Oxfam have installed hundreds of these next generation digester’ biofil toilets with #AustralianAid funding @campaignforaid @OxfamAustralia",2020-01-21 12:42:37+00:00,PaulDRonalds,#AustralianAid,Sanitation
222,https://youtu.be/VgYbaKmsQ60 FBTec....wastewater recycle... installed at a public toilet recycling its water for flushing...Water saved and Sanitation improved #BJPWinningDelhi #BJP #BJPPresident,2020-01-21 12:42:16+00:00,LalitBajare,#BJPWinningDelhi #BJP #BJPPresident,Sanitation
223,Toilets on discount - Sharing GIZ’s experience with accelerating access to sanitation through household toilet… https://www.susana.org/en/knowledge-hub/resources-and-publications/library/details/3748,2020-01-21 12:29:44+00:00,LVZNB,,Sanitation
224,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Sanitation
225,"Series of trainings are being conducted in January for #Sanitation #Hygiene #Education (SHE) teams managing #community toilets in #Trichy. Participants trained on improving #toilet maintenance, streamlining #SHE team operations and strengthening their accounting systems.",2020-01-21 11:25:06+00:00,TNUSSP,#Sanitation #Hygiene #Education #community #Trichy #toilet #SHE,Sanitation
226,News via @thebetterindia: How a Couple Installed 798 Self-Cleaning ‘Smart’ #Toilets Across India: http://bit.ly/2umieo7 #WASH #sanitation #SDG6 #IoT,2020-01-21 07:15:12+00:00,NextBillion,#Toilets #WASH #sanitation #SDG6 #IoT,Sanitation
227,Beautification of public toilet at Madeenaguda with Rangoli by GHMC sanitation staff #SwachhSurvekshan2020 #SwachhSurvekshan2020Hyderabad #SwachhBharat,2020-01-21 05:35:01+00:00,ramakri81600102,#SwachhSurvekshan2020 #SwachhSurvekshan2020Hyderabad #SwachhBharat,Sanitation
228,toilet access india 98% pakistan 55% means your country have more toiletless and lack of sanitation. but well 2014 ke figures se khush hona hai apni bewakoofi sabit karna hai,2020-01-21 05:05:37+00:00,devilson402,,Sanitation
229,@AppleSupport How many AirPods end up in our sanitation systems? How many are flushed down the toilet each year? How many?!?!,2020-01-20 20:57:35+00:00,asharadwayne,,Sanitation
230,Toilet Personal Sanitation Devices https://jcgregsolutions.wordpress.com/2020/01/21/toilet-personal-sanitation-devices/,2020-01-20 20:29:04+00:00,GregoriojessC,,Sanitation
231,Toilet Personal Sanitation Devices https://jcgregsolutions.wordpress.com/2020/01/21/toilet-personal-sanitation-devices/,2020-01-20 20:29:02+00:00,JesusCGregorio,,Sanitation
232,News via @thebetterindia: How a Couple Installed 798 Self-Cleaning ‘Smart’ Toilets Across India: http://bit.ly/38qbbK8 #WASH #sanitation #SDG6 #TechForGood,2020-01-20 19:15:13+00:00,NextBillion,#WASH #sanitation #SDG6 #TechForGood,Sanitation
233,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% ( #India Ministry of Drinking Water and Sanitation),2020-01-20 18:12:03+00:00,dimapurtoday,#India,Sanitation
234,If you want to go back to outhouse sanitation go ahead.... me and mine I will use a proper toilet that flushes the waste away to a treatment plant that takes the waste out and treats the water before it goes back into the ecosystem.... because that is where it goes...,2020-01-20 17:44:53+00:00,BubbleGirlBiker,,Sanitation
235,"With the support of @discoverRB we at @TierraGrataCol started the implementation of a rural sanitation solution that reduce open defecation, provide safe and hygiene toilets and DIGNITY. #SanitationforAll #MoreThanAToilet #SanitationIsDignity",2020-01-20 15:48:14+00:00,jenifercolpas,#SanitationforAll #MoreThanAToilet #SanitationIsDignity,Sanitation
236,"We are not only advocating for clean public conveniences, we are also saying let's create sanitation jobs for many youths in the city. You don't need a PHD to run a toilet. We're ready to work with you in making this a reality .@AmacLg .@AdamuCandido .@AbiodunEssiet @FMWRNigeria",2020-01-20 15:32:58+00:00,HipcityHub,,Sanitation
237,Toilet Bidet Seat Spray Istinja Water Bathroom Home Sanitation Single Nozzle New https://ebay.us/pHixJ5 via @eBay,2020-01-20 14:44:22+00:00,crazyozdiscount,,Sanitation
